Reference area,Indicator,Subject,MEASURE,TIME_PERIOD,OBS_VALUE
Albania,Exchange rates,Total,National currency units/US dollar,1994,94.623333
Argentina,Exchange rates,Total,National currency units/US dollar,1994,0.999008
Albania,Gross domestic product (GDP),Total,US dollars/capita,2002,4751.738567
Albania,Gross domestic product (GDP),Total,Million US dollars,2002,14497.602
Argentina,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.736237
Albania,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2005,21.985
Australia,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,1.299225
Albania,Gross domestic product (GDP),Total,US dollars/capita,2010,9628.253267
Albania,Gross domestic product (GDP),Total,Million US dollars,2010,28047.304
Australia,Exchange rates,Total,National currency units/US dollar,1994,1.367751
Austria,Exchange rates,Total,National currency units/US dollar,1994,0.830056
Albania,Air pollution exposure,Exposure to PM2.5,% of population,2011,99.988
Albania,Gross domestic product (GDP),Total,US dollars/capita,2018,13498.18747
Albania,Gross domestic product (GDP),Total,Million US dollars,2018,38690.881
Albania,Air pollution exposure,Exposure to PM2.5,% of population,2019,99.988
Austria,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.940894
Albania,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2017,18.869
Belgium,Exchange rates,Total,National currency units/US dollar,1994,0.829365
Albania,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,23.833
Belgium,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.933713
Brazil,Exchange rates,Total,National currency units/US dollar,1994,0.664684
Brazil,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.283775
Albania,Gross domestic product (GDP),Total,Million US dollars,1997,8555.889
Bulgaria,Exchange rates,Total,National currency units/US dollar,1994,0.054134
Albania,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,24.176
Albania,Gross domestic product (GDP),Total,US dollars/capita,2000,3874.905122
Albania,Gross domestic product (GDP),Total,Million US dollars,2000,11928.442
Canada,Exchange rates,Total,National currency units/US dollar,1994,1.365673
Canada,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,1.206599
Chile,Exchange rates,Total,National currency units/US dollar,1994,420.176667
Chile,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,260.372212
Albania,Gross domestic product (GDP),Total,US dollars/capita,2003,5000.341937
Albania,Gross domestic product (GDP),Total,Million US dollars,2003,15199.119
Albania,Gross domestic product (GDP),Total,US dollars/capita,2001,4300.373215
Albania,Gross domestic product (GDP),Total,Million US dollars,2001,13159.886
Albania,Air pollution exposure,Exposure to PM2.5,% of population,2005,99.992
China (People's Republic of),Purchasing power parities (PPP),Total,National currency units/US dollar,1994,2.457853
China (People's Republic of),Exchange rates,Total,National currency units/US dollar,1994,8.618743
Colombia,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,308.382512
Albania,Air pollution exposure,Exposure to PM2.5,% of population,2010,99.988
Colombia,Exchange rates,Total,National currency units/US dollar,1994,826.54
Albania,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2010,21.557
Albania,Gross domestic product (GDP),Total,US dollars/capita,2009,8813.132858
