Reference area,Air pollution exposure (Exposure to PM2.5): % of population_pred2000,Air pollution exposure (Exposure to PM2.5): Micrograms per cubic metre_pred2000,Average wages (Total): US dollars_pred2000,Employment rate (Men): % of working age population_pred2000,Employment rate (Men): Thousand persons_pred2000,Employment rate (Total): % of working age population_pred2000,Employment rate (Total): Thousand persons_pred2000,Employment rate (Women): % of working age population_pred2000,Employment rate (Women): Thousand persons_pred2000,Exchange rates (Total): National currency units/US dollar_pred2000,GDP per hour worked (Total): 2015=100_pred2000,GDP per hour worked (Total): US dollars_pred2000,Gender wage gap (Employees): Percentage_pred2000,Gender wage gap (Self-employed): Percentage_pred2000,Gross domestic product (GDP) (Total): Million US dollars_pred2000,Gross domestic product (GDP) (Total): US dollars/capita_pred2000,Purchasing power parities (PPP) (Total): National currency units/US dollar_pred2000,Trust in government (Total): Percentage_pred2000,Air pollution exposure (Exposure to PM2.5): % of population_slope,Air pollution exposure (Exposure to PM2.5): Micrograms per cubic metre_slope,Average wages (Total): US dollars_slope,Employment rate (Men): % of working age population_slope,Employment rate (Men): Thousand persons_slope,Employment rate (Total): % of working age population_slope,Employment rate (Total): Thousand persons_slope,Employment rate (Women): % of working age population_slope,Employment rate (Women): Thousand persons_slope,Exchange rates (Total): National currency units/US dollar_slope,GDP per hour worked (Total): 2015=100_slope,GDP per hour worked (Total): US dollars_slope,Gender wage gap (Employees): Percentage_slope,Gender wage gap (Self-employed): Percentage_slope,Gross domestic product (GDP) (Total): Million US dollars_slope,Gross domestic product (GDP) (Total): US dollars/capita_slope,Purchasing power parities (PPP) (Total): National currency units/US dollar_slope,Trust in government (Total): Percentage_slope
Albania,99.99170859277704,23.662097758406503,,,,,,,,117.61297585123089,,,,,11794.346095073037,3798.4247243490536,43.07738553128188,,-0.00024283935242824174,-0.2650018679950314,,,,,,,,-0.5431540201969945,,,,,1488.43398391302,536.3498137873888,-0.04193263487178142,
Argentina,97.47623785803238,14.833703611457068,,,,,,,,-3.5280527458089637,,,24.036904758999754,,376674.76936492324,11440.523298262386,-1.5165347940878746,,0.045964881693652884,-0.04338032378580402,,,,,,,,2.4746807699506514,,,-0.8075396824000287,,34882.69781403545,618.6862753158,1.1945178665024208,
Armenia,100.00000000000001,34.05663325031122,,,,,,,,,,,,,,,,,-1.152556042402208e-16,0.19157770859277995,,,,,,,,,,,,,,,,
Australia,1.1095821917808735,7.2578630136986675,48375.21402472933,76.85670979310348,5019.631557635526,68.96352367487691,8954.275372413918,61.04580386206885,3934.643728078896,1.4276388246305345,80.49889996847378,43.586352059114006,15.058676536517964,,540710.8929635882,28449.163609084208,1.3490532955665113,58.693881560120644,-0.07843150684931516,-0.030380821917807447,607.3363376847306,0.0985798965517243,90.76936995073815,0.28298070443349865,196.76225517241187,0.47149555172414015,105.99286157635494,-0.008861003940886363,1.1851781073891403,0.6417179753694461,-0.09610430700212581,,45202.20431921212,1484.4012236059116,0.006613118226600838,-0.6195821286547532
Austria,100.79833250311276,18.442643835616536,57441.237044818,75.8172391304347,2092.6784482758685,67.8893514492753,3744.7026354680056,60.029750000000035,1652.0304433497513,0.8572526512315255,83.1292204012052,55.91420785823698,24.41464054616563,53.38148312516023,232334.99834679812,28972.054641646333,0.9120235832512229,30.146145078921563,-0.7426229140722388,-0.33543013698630103,391.6311765960547,0.031989130434786184,8.438793103448191,0.2484347826086874,28.15839901477772,0.46174999999998123,19.71947044335012,-0.001183447783251191,1.0836888393541242,0.72890860071152,-0.5372145404573667,-0.6289291421878382,14730.951198029605,1542.9508320788093,-0.008515745320196798,1.136138686010406
Azerbaijan,99.94409153175593,26.084743462017386,,,,,,,,,,,,,,,,,0.0014262764632630095,0.04611955168119962,,,,,,,,,,,,,,,,
Belarus,100.0879333748444,22.721061643835696,,,,,,,,,,,,,,,,,-0.023538854296389827,-0.28479863013699364,,,,,,,,,,,,,,,,
Belgium,100.21395579078467,18.206876089664092,60296.348406256235,67.99509057971014,2278.387438423648,59.50013768115963,3980.205024630559,50.86742753623173,1701.8935714285908,0.8568873477832493,87.7466491477835,62.830683456157885,14.089420499744165,49.6241489226868,278501.05725123733,27106.41146176262,0.9095242029556552,50.559737156208485,-0.34612017434619674,-0.300519925280198,286.5002001231495,-0.01907608695652184,14.77247536945816,0.24780434782608507,43.41230295566489,0.5207608695652133,28.634100985221234,-0.001156306403940843,0.7618305763546742,0.5455061369458061,-0.630973814374935,-1.4016517069969021,18215.371041872033,1452.6351386158017,-0.008317292610837197,-0.4128200515254847
Bosnia and Herzegovina,100.00006351183058,40.299570983810895,,,,,,,,,,,,,,,,,-4.7073474470693584e-05,-0.5037408468244071,,,,,,,,,,,,,,,,
Brazil,99.76981070983675,14.830489414694966,,,,,17213.382482518093,,,1.5636204995074934,,,27.840711563763534,,1679169.3709692955,9621.931214574492,0.7567683546798492,49.985537644362466,-0.8544244084681926,-0.15369215442092105,,,,,454.5035314685219,,,0.12070042463053929,,,-0.9167299872908989,,89231.60386563936,348.63711182597996,0.07818626600985029,-1.0327706176225737
