,Reference area,TIME_PERIOD,Air pollution exposure (Exposure to PM2.5): % of population,Air pollution exposure (Exposure to PM2.5): Micrograms per cubic metre,Average wages (Total): US dollars,Employment rate (Men): % of working age population,Employment rate (Men): Thousand persons,Employment rate (Total): % of working age population,Employment rate (Total): Thousand persons,Employment rate (Women): % of working age population,Employment rate (Women): Thousand persons,Exchange rates (Total): National currency units/US dollar,GDP per hour worked (Total): 2015=100,GDP per hour worked (Total): US dollars,Gender wage gap (Employees): Percentage,Gender wage gap (Self-employed): Percentage,Gross domestic product (GDP) (Total): Million US dollars,Gross domestic product (GDP) (Total): US dollars/capita,Purchasing power parities (PPP) (Total): National currency units/US dollar,Trust in government (Total): Percentage
71,Australia,1994,,,43873.85695,75.05529,4532.231,66.00251,7899.284,56.85906,3367.054,1.367751,69.609837,37.690439,14.40972222,,381647.453,21434.24519,1.299225,
72,Australia,1995,3.002,7.496,43715.0,76.38482,4665.304,67.62838,8188.812,58.79062,3523.509,1.349033,71.70309,38.823836,14.47811448,,404102.992,22444.05647,1.308996,
73,Australia,1996,,,44976.27559,76.3037,4715.818,67.66373,8298.891,58.95956,3583.072,1.277863,74.188297,40.169459,,,424472.904,23290.94992,1.311426,
74,Australia,1997,,,46355.55509,75.84586,4742.123,67.36479,8366.658,58.84204,3624.535,1.34738,76.737507,41.549735,15.25423729,,450962.701,24478.24464,1.306627,
75,Australia,1998,,,46999.6351,76.17059,4812.578,67.80048,8517.424,59.40298,3704.846,1.591828,79.220391,42.8941,13.24200913,,478691.653,25725.59883,1.298972,
76,Australia,1999,,,48064.87024,76.59881,4890.84,68.23203,8672.614,59.85204,3781.775,1.54995,79.911126,43.2681,14.28571429,,510947.993,27160.31497,1.29695,
77,Australia,2000,0.005,7.366,48213.08868,76.92454,4978.391,69.09614,8901.732,61.2659,3923.342,1.724827,80.804204,43.75166,17.2,,539145.522,28333.13305,1.31208,
78,Australia,2001,,,48693.3023,76.35796,5008.421,69.00098,9015.015,61.65271,4006.594,1.933443,83.605592,45.268479,14.34210526,,569807.996,29562.48326,1.327545,
79,Australia,2002,,,49140.63129,76.68957,5101.588,69.35914,9190.267,62.03787,4088.678,1.840563,84.855358,45.945168,15.0,,600908.415,30823.40346,1.33649,
80,Australia,2003,,,49849.37515,77.05504,5192.441,70.01125,9396.537,62.97922,4204.096,1.541914,86.823406,47.010774,13.04347826,,639129.361,32409.0606,1.351978,
81,Australia,2004,,,51414.31839,77.60509,5296.681,70.29926,9558.361,63.00517,4261.68,1.359752,86.532484,46.853253,14.35294118,,678093.52,34019.15042,1.36477,
82,Australia,2005,0.005,6.91,52013.93975,78.50571,5443.297,71.54403,9880.634,64.5948,4437.336,1.309473,86.854971,47.027864,15.77777778,,719977.551,35683.436,1.388356,
83,Australia,2006,,,52368.0,78.8098,5559.523,72.12262,10124.23,65.44512,4564.704,1.327973,87.298147,47.267823,16.66666667,,776413.103,37964.55444,1.402633,53.20633284
84,Australia,2007,,,53805.0,79.54396,5732.45,72.80006,10434.27,66.06055,4701.819,1.195073,88.292555,47.806248,15.4,,826927.984,39703.46962,1.42652,52.69328107
85,Australia,2008,,,54149.0,79.6843,5880.447,73.20431,10731.17,66.71808,4850.724,1.192178,91.356643,49.465307,11.93737769,,852859.354,40136.06886,1.479073,64.46754241
86,Australia,2009,,,53644.0,77.78976,5879.186,72.05107,10805.58,66.30235,4926.391,1.282189,90.614407,49.063422,16.36363636,,904209.158,41684.56865,1.442566,
87,Australia,2010,0.004,6.787,55536.0,78.59275,6021.409,72.37024,11022.24,66.14607,5000.834,1.090159,92.059829,49.846049,14.04293381,,943488.216,42823.92797,1.503623,60.97529188
88,Australia,2011,0.004,6.712,57361.0,78.67326,6107.871,72.65694,11213.82,66.6507,5105.946,0.969463,93.143265,50.432679,15.96638656,,993249.916,44460.60502,1.511052,53.07867193
89,Australia,2012,0.004,7.001,57752.0,78.136,6163.553,72.34558,11350.8,66.57001,5187.249,0.965801,95.393843,51.65126,13.75,,998266.252,43911.6833,1.540115,42.04191789
90,Australia,2013,0.004,6.965,57579.0,77.5471,6200.635,71.97044,11456.71,66.41943,5256.074,1.035843,97.059185,52.552964,18.0,,1105431.18,47796.02217,1.447123,45.58714682
91,Australia,2014,0.004,6.877,58102.0,77.07588,6231.923,71.56635,11540.16,66.09975,5308.238,1.109363,97.516292,52.800466,15.77335375,,1118585.036,47648.63396,1.452489,46.46762335
92,Australia,2015,0.004,6.848,57744.0,77.54211,6327.085,72.15796,11766.27,66.83152,5439.183,1.33109,100.0,54.145277,13.30769231,,1125701.148,47266.59172,1.473691,47.85568371
93,Australia,2016,0.004,6.822,57885.0,77.53742,6403.566,72.43098,11972.74,67.39288,5569.173,1.345214,99.750519,54.010195,13.72843211,,1213233.545,50152.47657,1.450156,45.27317501
94,Australia,2017,0.004,6.673,57619.0,77.8993,6530.419,72.98665,12249.01,68.14085,5718.59,1.304758,100.911727,54.638934,13.00094822,,1248366.725,50758.58232,1.477553,45.34069629
95,Australia,2018,0.004,6.741,57843.0,78.36475,6683.232,73.75645,12576.78,69.20642,5893.544,1.338412,100.940094,54.654293,13.44856744,,1326195.638,53118.79224,1.470403,46.88368745
