,index,domain,measure,transport_mode,unit_of_measure,summary_type,measure-unit,data_source
0,0,Infrastructure,Airports,,Per 1 000 000 inhabitants,pred2000,Airports: Per 1 000 000 inhabitants_pred2000,Transport Indicators
1,1,Environmental Impact,CO2 emissions in transport sector,,Kilogrammes of CO2-equivalent per 1 000 US dollars,pred2000,CO2 emissions in transport sector: Kilogrammes of CO2-equivalent per 1 000 US dollars_pred2000,Transport Indicators
2,2,Environmental Impact,CO2 emissions in transport sector,,Percentage of CO2 emissions,pred2000,CO2 emissions in transport sector: Percentage of CO2 emissions_pred2000,Transport Indicators
3,3,Environmental Impact,CO2 emissions in transport sector,,Percentage of CO2 emissions from transport,pred2000,CO2 emissions in transport sector: Percentage of CO2 emissions from transport_pred2000,Transport Indicators
4,4,Environmental Impact,CO2 emissions in transport sector,,Tonnes of CO2 per person,pred2000,CO2 emissions in transport sector: Tonnes of CO2 per person_pred2000,Transport Indicators
5,5,Transportation Infrastructure,Density,,Per 100 square kilometres,pred2000,Density: Per 100 square kilometres_pred2000,Transport Indicators
6,6,Economic Measures,Employment in the transport sector,,Percentage of employment,pred2000,Employment in the transport sector: Percentage of employment_pred2000,Transport Indicators
7,7,Economic Measures,Expenditure for personal transport equipment operation,,Percentage of household expenditure in transport,pred2000,Expenditure for personal transport equipment operation: Percentage of household expenditure in transport_pred2000,Transport Indicators
8,8,Economic Measures,Expenditure for transport services,,Percentage of household expenditure in transport,pred2000,Expenditure for transport services: Percentage of household expenditure in transport_pred2000,Transport Indicators
9,9,Safety & Social Impacts,Fatalities,,Per 1 000 000 000 vehicle-kilometres,pred2000,Fatalities: Per 1 000 000 000 vehicle-kilometres_pred2000,Transport Indicators
10,10,Safety & Social Impacts,Fatalities,,Per 10 000 road motor vehicles,pred2000,Fatalities: Per 10 000 road motor vehicles_pred2000,Transport Indicators
11,11,Safety & Social Impacts,Fatalities,,Per 100 000 inhabitants,pred2000,Fatalities: Per 100 000 inhabitants_pred2000,Transport Indicators
12,12,Transportation Activity,Freight transport,,Percentage of freight transport,pred2000,Freight transport: Percentage of freight transport_pred2000,Transport Indicators
13,13,Transportation Activity,Freight transport,,Tonne-kilometres per 1 000 US dollars,pred2000,Freight transport: Tonne-kilometres per 1 000 US dollars_pred2000,Transport Indicators
