Reference area,Airports: Per 1 000 000 inhabitants_pred2000,CO2 emissions in transport sector: Kilogrammes of CO2-equivalent per 1 000 US dollars_pred2000,CO2 emissions in transport sector: Percentage of CO2 emissions_pred2000,CO2 emissions in transport sector: Percentage of CO2 emissions from transport_pred2000,CO2 emissions in transport sector: Tonnes of CO2 per person_pred2000,Density: Per 100 square kilometres_pred2000,Employment in the transport sector: Percentage of employment_pred2000,Expenditure for personal transport equipment operation: Percentage of household expenditure in transport_pred2000,Expenditure for transport services: Percentage of household expenditure in transport_pred2000,Fatalities: Per 1 000 000 000 vehicle-kilometres_pred2000,Fatalities: Per 10 000 road motor vehicles_pred2000,Fatalities: Per 100 000 inhabitants_pred2000,Freight transport: Percentage of freight transport_pred2000,Freight transport: Tonne-kilometres per 1 000 US dollars_pred2000,Fuel deliveries to the road sector: Tonnes per person_pred2000,Fuel deliveries to the road sector: Tonnes per vehicle_pred2000,Household expenditure for transport: Percentage of household expenditure_pred2000,International traffic: Percentage of seat capacity_pred2000,International traffic: Seat-kilometres per 1 000 US dollars_pred2000,Investment (Inland): Percentage of GDP_pred2000,Investment (Inland): US dollars per person_pred2000,Investment (Rail): Percentage of GDP_pred2000,Investment (Rail): Percentage of infrastructure investment_pred2000,Investment (Rail): US dollars per person_pred2000,Investment (Road): Percentage of GDP_pred2000,Investment (Road): Percentage of infrastructure investment_pred2000,Investment (Road): US dollars per person_pred2000,Investment (Waterways): US dollars per person_pred2000,Maintenance: Percentage of infrastructure maintenance_pred2000,National traffic: Seat-kilometres per 1 000 US dollars_pred2000,Passenger transport: Passenger-kilometres per 1 000 US dollars_pred2000,Traffic: Vehicle-kilometres per 1 000 US dollars_pred2000,Transport infrastructure: Percentage of rail network_pred2000,Transport infrastructure: Percentage of road network_pred2000,Value added by the transport sector: Percentage of value added_pred2000,Vehicle distance travelled: Kilometres_pred2000,Vehicle purchases: Percentage of household expenditure in transport_pred2000,Airports: Per 1 000 000 inhabitants_slope,CO2 emissions in transport sector: Kilogrammes of CO2-equivalent per 1 000 US dollars_slope,CO2 emissions in transport sector: Percentage of CO2 emissions_slope,CO2 emissions in transport sector: Percentage of CO2 emissions from transport_slope,CO2 emissions in transport sector: Tonnes of CO2 per person_slope,Density: Per 100 square kilometres_slope,Employment in the transport sector: Percentage of employment_slope,Expenditure for personal transport equipment operation: Percentage of household expenditure in transport_slope,Expenditure for transport services: Percentage of household expenditure in transport_slope,Fatalities: Per 1 000 000 000 vehicle-kilometres_slope,Fatalities: Per 10 000 road motor vehicles_slope,Fatalities: Per 100 000 inhabitants_slope,First registrations: Per 1 000 000 US dollars_slope,First registrations: Per 1 000 inhabitants_slope,Freight transport: Percentage of freight transport_slope,Freight transport: Tonne-kilometres per 1 000 US dollars_slope,Fuel deliveries to the road sector: Tonnes per 1 000 000 US dollars_slope,Fuel deliveries to the road sector: Tonnes per person_slope,Fuel deliveries to the road sector: Tonnes per vehicle_slope,Household expenditure for transport: Percentage of household expenditure_slope,International traffic: Percentage of seat capacity_slope,International traffic: Seat-kilometres per 1 000 US dollars_slope,Investment (Inland): Percentage of GDP_slope,Investment (Inland): US dollars per person_slope,Investment (Rail): Percentage of GDP_slope,Investment (Rail): Percentage of infrastructure investment_slope,Investment (Rail): US dollars per person_slope,Investment (Road): Percentage of GDP_slope,Investment (Road): Percentage of infrastructure investment_slope,Investment (Road): US dollars per person_slope,Investment (Waterways): Percentage of infrastructure investment_slope,Investment (Waterways): US dollars per person_slope,Maintenance: Percentage of infrastructure maintenance_slope,National traffic: Seat-kilometres per 1 000 US dollars_slope,Passenger transport: Passenger-kilometres per 1 000 US dollars_slope,Traffic: Vehicle-kilometres per 1 000 US dollars_slope,Transport infrastructure: Percentage of rail network_slope,Transport infrastructure: Percentage of road network_slope,Value added by the transport sector: Percentage of value added_slope,Vehicle distance travelled: Kilometres_slope,Vehicle purchases: Percentage of household expenditure in transport_slope
Australia,0.5621883481978127,159.76426530674507,22.521800495689604,99.81665363450409,3.8884962011116606,10.15486908344883,5.089196850086467,48.7435944959355,22.638142039743457,9.245506612330246,1.4021699337477571,9.159816664402399,102.15053763440869,1162.1218122575228,1.3359206459497859,2.0126944147398245,12.350512228537553,58.295547807777915,135.67935901519922,1.1483265638163687,523.875547960266,0.18502612653421124,15.931819083175242,83.36321981471156,0.9633004373349756,84.06818091710738,440.51232815405456,0.0,,95.3934405694099,575.860387214736,407.83282606427747,,12.965955945110977,5.221828767785688,15395.15722197204,28.61827759908931,0.004163672164834204,-5.896045815136921,0.08150482224138189,-0.028507612548167242,-0.002725852891078529,0.19286593016922046,0.002883341750611751,0.05343585141935431,0.25725213893214655,-0.2678352759207611,-0.04417383237523606,-0.2458222251296983,-0.046332975370856164,0.007518212634040402,-0.6451612903225699,-21.842921376748418,-0.8575849540389576,0.0075205760441558155,-0.005060519767532494,-0.10745540422402589,0.058250251111101374,-4.10250416602309,0.021632067605637736,16.549692794170827,0.012437843361521669,0.5917311296852785,7.496649649740038,0.00919422424630546,-0.5917311297016984,9.053043144061334,0.0,0.0,,-2.933803267075791,-21.89318385249112,-14.102281432535184,,0.09016881733334085,-0.020815191508120064,-114.89925269101631,-0.31069223040266847
Austria,0.7486897495714278,78.02713059007465,29.646486843784714,99.9999997544335,2.409364127878483,136.05109095634498,5.0045461693044055,49.45071699055836,16.60202504236723,15.813533109792616,1.2295827849944558,12.11891770317095,99.99999999918244,342.3718272413298,,,13.270574825873013,98.80391574883039,57.725494951753944,0.7334393659214573,330.4328919390264,0.48619214169211933,65.62583895875218,218.98884134616878,0.24615024267214203,34.231638899124164,110.95390696240247,1.006403197949723,46.96628832086208,0.6527607268596682,36.15266369270671,256.37178241772926,59.96902475516799,13.157932538626483,5.68699370193103,14354.09062692293,33.94726574616607,-0.003428308549450451,-1.4189158536289335,0.48183639287630536,-1.0900657246119084e-08,0.020975971335248964,1.3838745796731846,-0.003121557572058514,0.3644002792200341,0.0641158149315827,-0.6342973623620611,-0.031191234895602656,-0.4248773893299209,-0.023133461164849718,0.27523005529299044,1.3147930564683327e-10,-6.919701261733408,,,,-0.056195772539682776,-0.02697580415204525,-0.5199062887719128,-0.003537993440339408,-2.2437822096333013,0.0025838916748768107,0.8021458173316917,0.6267734975095616,-0.006148639377394649,-0.8071621384263816,-2.8810754717952993,-0.004756584713764721,-0.02393985644895889,0.640586061453206,0.01124867870175328,-0.6026245635850945,-4.841384821182131,1.0538034450197034,3.063984013185076,-0.009560905482758529,-113.6443722377567,-0.42851614488505846
Azerbaijan,0.3656057651868192,742.0594676859182,11.71788414196044,98.2585028371872,0.39663235012888975,6.691007098978389,,,,956.9380332634464,,10.191178859455391,100.00000000081796,6207.909232811711,0.09107583482392201,,,100.53159279710522,299.8062058511932,1.2013061965951124,77.25605659239591,0.15574751910307327,25.401879599489803,1.3894056953039637,1.0591299273977484,74.59812040100769,75.86665089935923,,25.627892204441196,-0.3681657846842086,1821.3711528743152,169.438518306295,60.74628613369441,23.05233430345055,,,,0.0034142860659332756,-44.22290527769192,0.6922187833243136,0.122094231894089,0.019741503182813754,1.0392530577113313,,,,-47.19685163533699,,-0.06573408193593039,-0.12726912841038976,-0.0327076892961042,-1.7797996315844318e-11,-181.7173277629178,-4.339196113742746,0.009795463897652939,,,-0.07115384552630949,-22.144036236138717,0.07824328914173981,5.373629611593097,-0.009363136942307622,-1.618729036189634,-0.0680117697990188,0.0866595946843485,1.618729036173981,5.441641380759764,,,-1.30300046593559,0.046173048421051494,-90.6356746719768,13.761090279817248,-0.22994773891625522,0.10693323191208647,,,
Belgium,0.3929141971208754,83.63861088390877,22.3026383202955,99.99900716840975,2.393751896430217,509.6541619422969,6.302004138604389,62.66692700530102,9.677515291129168,15.55816332092786,1.832785191890835,13.109817003535682,100.00000000039763,429.05156557621376,0.657618341304719,,12.37063783170882,99.98536529710525,33.35080990245888,0.43728784036019586,159.20114204220772,0.3241364207802171,73.73645571023098,118.880970970931,0.056260806276357656,13.040933673603831,19.877551827929892,20.44261923745634,30.4200259335775,0.002511576236841506,436.22644364216103,302.7359147555362,80.04954486354268,18.71719928691482,6.124247073549739,14873.63162700001,27.65555770257525,0.004448679357143173,-2.259441327378255,0.3149526707224989,-0.00038014867843479475,-0.010125227943076421,-2.2328904997997205,-0.041922424172058756,0.054291176981390514,-0.020174305901751385,-0.599121121630865,-0.053823294090906554,-0.4273343947179068,-0.025931315024916485,0.39126728495728313,-7.017326413610916e-11,-19.326501980648352,-0.8930179165235795,-0.004880664289699202,,-0.07577639914641504,-2.2455526312567802e-05,1.8301313777191328,0.0009433516355311117,1.7549435387057248,-0.004076252972527416,-1.0051605093345406,-0.7530282464590762,0.005293624192307616,1.114844246165432,2.4162184380829967,-0.10968373675641062,0.0917533472161143,0.016807463858369388,0.0004849458157895075,-17.719790264328456,-7.605356252521637,0.7246269853887563,-1.0131222109162237,-0.027997862302463043,-28.165655000002037,-0.03411687093322355
Bulgaria,0.3106371860219781,316.8868379055857,11.804655230145045,99.97247476773072,0.7087805865024421,10.993129172845101,4.962766295029468,45.76463306494543,41.22179334720022,,,12.947702212580452,99.9999999994554,2544.6153405337245,0.2130020751888324,,14.002427039269307,98.68445618789465,58.58313074503167,1.8782583188452406,92.28037259035807,0.2524563859222768,4.064030288019694,5.262531711061456,1.1087025741207484,64.70249405461959,53.133358055754115,24.17506106183464,24.26577556039115,0.6621482686375941,388.89153365143284,,64.78521861912714,-0.1481349253663211,7.426305569455138,,13.013573587818769,0.017904635467032557,-10.999737835030244,0.643824788990155,0.0020664791168578532,0.03432585701395769,0.7137152013555033,0.08900420335293897,0.5071077449644243,-0.6684438247126447,,,-0.22689543609966617,0.002143564462736308,0.05237691715572809,6.407091157589539e-11,-98.56970703877384,-4.4051886006266985,0.007646636093869897,,0.03535216277504087,-0.10368084947367988,1.4050738048536624,-0.0439546092848301,-0.4419677352528477,0.0008030738494800552,1.4902259118379857,0.9132293984270654,-0.01541398923116594,0.31912398578949164,0.6071669452115814,-1.809349897749254,-1.362968715982743,0.630076058333369,0.10678530881285787,-24.585216441703206,,0.4186277615928793,1.331443221443824,-0.09421320861379262,,0.16133607968938185
Canada,0.9766516205604461,193.74985267636475,31.365127310492596,98.67147024445896,4.982584957007397,8.882771197436796,,42.07166543668228,14.008006722421072,9.41623633571038,,9.495040389866801,99.99999999983032,670.9779551801475,1.398995085057642,,14.379886866850576,53.663173306551016,66.1440865276004,0.7141814729392326,265.12028884139,0.06365467797538488,9.40691693555776,23.294796783869856,0.6501133693792331,90.53537664006143,241.6869373477739,0.4160462014000217,52.53084045016044,55.0319897004656,527.2754705099651,343.17930290767436,,1.170626280507891,3.760678336233383,,43.92032784014013,0.009906501582416277,-6.135654435848465,0.04430917660098636,-0.036559165494526556,-0.011298631839080982,0.37463690166758,,0.16677086917463654,-0.10663724972013316,-0.25116068647478684,,-0.2478729854117895,0.020837962856781012,1.0087236008699763,2.787873295534143e-10,8.469932404202227,-0.6490338996547815,-0.009730530957402806,,0.027189951586207014,0.816101467251394,-1.0548944480116338,0.002886409671538475,4.368274155230719,0.0002497986492307601,0.055518689274613044,0.434339826361527,0.0026711644715384834,-0.05071593132307437,3.9455010034615,0.0158566233000024,0.016034629400003376,-0.9810017816230475,-2.054708402339025,-30.293906340885577,-7.747657711173971,,0.005892123260526811,0.04450900986428352,,-0.06013361942825217
Croatia,1.231149410219757,148.31634708801084,24.939857217306553,98.71391251187269,0.9905624020771739,55.271520738628396,5.903381254220605,52.37900351630549,17.975450272271132,53.09890316111614,3.1951727473664846,15.142950395529056,100.00000000019516,529.2204188453989,0.2914074292821489,0.1464069037997433,11.70413117310477,73.23704061953458,1.9799255741008892,1.7665214198596004,177.99021422765782,0.15855600046606444,8.56941311941182,15.810407077585296,1.603299566022713,91.17534595018606,161.69457948202034,0.5543969763441154,24.95265429289543,6.090352024993763,17.068204568742658,484.8040299692202,36.00221300254064,1.8704540170755308,5.23095097495812,13815.837263177382,29.645541154881244,0.033576241401099105,-2.9920932578998336,0.8056304745019275,0.08886236723125444,0.03164812353256733,-0.11100783017196679,0.02936102714705868,0.11087717201970256,0.27462921005418944,-2.404823991817579,-0.09117844263332942,-0.4029982060504981,-0.049786732975861885,0.09962467486009921,-7.786376686987107e-11,2.09552783930616,-0.4630643642936444,0.014913191704761705,0.04311259480001209,-0.14871135298866905,1.6997660023390384,3.640372839531841,-0.032794036487685356,-1.112308617665631,0.003921976735084818,0.7536540727246898,0.8240837601622876,-0.03656447519595025,-0.7462324021647546,-1.9224924356158213,0.007593450570588115,0.015998148164706315,0.6599846670963391,-0.2566645639707399,21.72554482287345,-7.306189161868693,0.06744778534816363,0.17212690406562745,-0.009448400608374525,-135.36537926665335,-0.3855064834926112
Czechia,0.3994067328571358,147.92148534060834,10.264003797981104,99.99761343798359,1.2132409043251045,84.14683025934963,6.854814393073383,47.79380128070058,20.177337232339823,34.92512697593338,1.7068500623181535,13.652843527121377,100.00000000007988,1497.1820747403835,0.47134223005739706,1.076141286831156,10.023520629372193,99.17137092040946,64.83324413672199,1.1898748490779978,157.0083817877121,0.43021335191598364,37.45422613199785,55.260268328588154,0.7489938603286816,61.68748298943075,100.32450465674083,1.4236088022586415,32.29261752718105,0.4651505242981955,992.5102232696227,493.6024492592005,30.470401091508393,21.0010538549559,6.997064695637391,8636.144693668728,32.028861485106745,0.00654529806043994,-4.407555880604877,0.4907458633929994,0.0001166396450463524,0.032994086032840986,0.025774845802001737,-0.03557311015130478,0.04778201088396402,-0.3360421120147807,-1.371914344479313,-0.04963729027272444,-0.44177625597508097,-0.0010481540180389787,0.7137105968220787,-3.2925970316594283e-11,-55.966666357596004,-1.869077901514011,0.007722902294261075,-0.012375661110388807,-0.015856130686644654,0.04662888795321125,-2.055733703625591,-0.0014250645385880496,3.1130953337985607,0.000571574341817076,0.04602974165571646,1.4874940036535198,-0.00217999640421465,-0.06271187594143031,1.566513657274215,0.016682134263546866,0.05908767293596051,0.3322311535249082,-0.030823395491225453,-37.37170520222105,-16.371736843743836,0.195611046057841,0.7597795955581779,-0.08324526986009832,-79.3031333896045,0.2882601012479493
Denmark,1.139007683406592,61.58873249739008,21.63448707854627,99.39564553866994,2.3039554196018095,186.3362771598072,5.495241642933323,49.41615234950768,11.04762049023644,10.317465110158992,1.9815967341075975,8.642578222517272,106.97070819428973,172.78037288169435,,,12.748059728581268,97.52881109959053,69.7670012902338,0.6482152386227575,336.83888825860913,0.3492554294785508,50.654760188165255,181.8284223493033,0.298959808982465,49.345239811834745,155.01046591159684,0.0,54.95456882746066,1.7347889301521136,356.9922499272834,225.66183270040892,20.022587282196127,18.32078389470962,6.001500255037897,18963.762332995364,39.53622741768447,-0.002939356725274562,-1.6989349774138147,0.8970302146223437,-4.492994170673942e-05,-0.01038922608976488,0.29497719688542684,-0.05795970938245597,0.354923838768468,-0.037398263977834405,-0.4209783172380999,-0.0880125982952937,-0.33347876678325555,-0.013261363335928786,0.44692464660199926,-2.780867630700753,-6.932218079348337,,,,-0.0693846663743818,-0.060489687953208436,-0.5834410311695819,0.004943981795217247,2.1404451025216624,-0.003121675656956643,-0.6939930429869645,-1.7908963437391956,0.008065657457826066,0.6939930429869651,3.9313414456521594,0.0,0.0,-0.6643433911478228,0.02761718623976156,-13.125016980375317,-4.702873313936494,0.6586586325253839,-1.060780301048272,0.016299934658286813,-150.09559383678146,-0.31752559044334266
Estonia,1.6035008187251947,266.5352117267357,10.606180575681151,99.8481299256133,1.3457653166921162,117.98014655283805,8.830827150856777,46.926964299176234,29.384572396291787,33.714017508214965,0.4190092993554231,16.408674723993727,100.00000000018392,3034.8645187258953,0.3067161922962285,0.23270758188093055,11.318681914140676,99.29232649771927,49.868281330525406,0.7034010266310986,66.47687405386932,0.20107413476053537,26.87199786148335,18.395366716450553,0.5023268918201964,73.12800213849505,48.08150733686671,0.0,44.01766014912755,0.31323905760819226,54.33202510126739,911.9584693820652,12.751236615478973,0.6420755016522435,9.47306226440142,13750.307092363917,23.68835476593597,0.02456974871978862,-12.043179237185534,0.5022296441234333,0.001660236332512464,0.02808822173152734,2.4726151963054375,-0.07501678766869724,0.8941136270717047,-0.6192394311603729,-1.644123966980631,0.012865319742387119,-0.6701464185325902,-0.027644382875194228,0.7308200085219104,-1.3792958286061596e-11,-140.31999154257107,-1.2452348500674473,0.029223297727976563,0.04937914994054701,0.021867457655719777,-0.01906123859649011,-1.0294924126315124,0.021657778988779495,7.924486507192149,-0.0017805198163656044,-0.6943611500820979,0.8043133972285211,0.023438298815270993,0.6943611500930456,7.120173110284642,0.0,0.0,-1.7581644374603216,0.0034508929590641685,-2.9489928160774035,-33.7340221597589,-0.03952757071271344,0.3893020169664046,-0.11550919783004873,-117.11183427273993,-0.27487060532019797
