,Reference area,TIME_PERIOD,Airports: Per 1 000 000 inhabitants,Airports: Per 100 square kilometres,Available seat capacity for schedule flight: Per 1 000 000 US dollars,Available seat capacity for schedule flight: Per 1 000 inhabitants,CO2 emissions in transport sector: Kilogrammes of CO2-equivalent per 1 000 US dollars,CO2 emissions in transport sector: Percentage of CO2 emissions,CO2 emissions in transport sector: Percentage of CO2 emissions from transport,CO2 emissions in transport sector: Tonnes of CO2 per person,Density: Per 100 square kilometres,Employment in the transport sector: Percentage of employment,Expenditure for personal transport equipment operation: Percentage of household expenditure in transport,Expenditure for transport services: Percentage of household expenditure in transport,Fatalities: Per 1 000 000 000 vehicle-kilometres,Fatalities: Per 10 000 road motor vehicles,Fatalities: Per 100 000 inhabitants,First registrations: Per 1 000 000 US dollars,First registrations: Per 1 000 inhabitants,Freight transport: Percentage of freight transport,Freight transport: Tonne-kilometres per 1 000 US dollars,Fuel deliveries to the road sector: Tonnes per 1 000 000 US dollars,Fuel deliveries to the road sector: Tonnes per person,Fuel deliveries to the road sector: Tonnes per vehicle,Household expenditure for transport: Percentage of household expenditure,International traffic: Percentage of seat capacity,International traffic: Seat-kilometres per 1 000 US dollars,Investment (Inland): Percentage of GDP,Investment (Inland): US dollars per person,Investment (Rail): Percentage of GDP,Investment (Rail): Percentage of infrastructure investment,Investment (Rail): US dollars per person,Investment (Road): Percentage of GDP,Investment (Road): Percentage of infrastructure investment,Investment (Road): US dollars per person,Investment (Waterways): Percentage of GDP,Investment (Waterways): Percentage of infrastructure investment,Investment (Waterways): US dollars per person,Maintenance: Percentage of infrastructure maintenance,National traffic: Seat-kilometres per 1 000 US dollars,Passenger transport: Passenger-kilometres per 1 000 US dollars,Stock: Per 1 000 000 US dollars,Stock: Per 1 000 inhabitants,Traffic: Vehicle-kilometres per 1 000 US dollars,Transport infrastructure: Percentage of rail network,Transport infrastructure: Percentage of road network,Value added by the transport sector: Percentage of value added,Vehicle distance travelled: Kilometres,Vehicle purchases: Percentage of household expenditure in transport
0,Australia,1994,,,,,190.0288119,23.58217733,99.95311438,3.64102241,,5.10815917,50.20657147,18.9047553,,,10.82813437,1.483798976,28.42952513,100.0,1191.455780481,,,,12.68750704,,,,,,,,,,,,,,,,710.068632222,25.085591764,480.63886891199996,,,,5.406674934,,30.88867323
1,Australia,1995,,,,,183.767208,23.6722218,99.95537179700001,3.751218475,10.54371738,5.061894204,50.13672697,19.91743795,12.1130956,1.850363821,11.20251718,1.453049629,29.66295475,100.0,1146.678002745,,,,12.596172,,,1.082889042,422.3576321,0.197564768,18.24423006,77.05589806,0.885324274,81.75576994,345.3017341,0.0,0.0,0.0,,,677.784198405,29.656816451,605.422407123,453.0295313,,,5.299568575,15275.73035,29.94583509
2,Australia,1996,,,,,169.1730774,23.71916015,99.95637460600001,3.842212798,,5.169714845,48.95696203,20.51392405,,1.73525642,10.80946604,1.310132744,29.75769183,100.0,1071.102380136,,,,12.53693635,,,1.06028444,436.4110685,0.199423029,18.80844621,82.08214107,0.860861412,81.19155379,354.3289275,0.0,0.0,0.0,,,611.4230646120001,27.425631762000002,622.9319145799999,,,,5.251561999,,30.52911392
3,Australia,1997,,,,,172.7965324,23.55221783,99.96343375200001,3.874795182,,5.143355925,47.16803095,19.94055342,,1.521387112,9.591252517,1.48039827,33.1987066,100.0,1149.1478006329999,,,,12.62775658,,,1.092320696,463.799361,0.236765559,21.67546217,100.530655,0.855555136,78.32453783,363.2687059,0.0,0.0,0.0,,,616.8549002699999,28.112081091999997,630.428142754,,,,5.14893154,,32.89141563
4,Australia,1998,,,,,192.8604523,22.12117967,99.963789371,3.836493281,,5.070500189,46.7714642,20.60473815,10.45314845,1.46060365,9.431638197,1.839476606,36.5931977,100.0,1345.810807491,,,,12.54752958,,,1.166591202,515.5716675,0.192908323,16.53606869,85.25528512,0.97368288,83.46393131,430.3163824,0.0,0.0,0.0,,,694.8934744310001,32.460010656,645.735631205,453.5591382,,,5.261060183,13972.85857,32.62379765
5,Australia,1999,,,,,181.521607,22.13284661,99.969126139,3.868409459,,5.121662281,47.47001419,21.16203087,10.19340896,1.44386437,9.376861817,1.624280956,34.6384146,100.0,1281.4798150230001,,,,12.23776868,,,1.219191325,550.9487507,0.16438107,13.48279525,74.28329199,1.054810255,86.51720475,476.6654587,0.0,0.0,0.0,,,655.21583966,30.453293127000002,649.4281602469999,431.3613345,,,5.068598498,14164.68599,31.36795495
6,Australia,2000,,,,,195.4008165,22.41619397,99.969713763,3.942143336,,5.106309649,47.62187989,22.01471084,9.843276831,,9.548683096,1.715740525,34.6413295,100.0,1402.206784376,,,,12.29799581,,,1.072289995,487.3853224,0.116312848,10.84714473,52.86739131,0.955977147,89.15285527,434.5179311,0.0,0.0,0.0,,,697.890062356,,,480.4639844,,,4.994363824,,30.36340927
7,Australia,2001,,,,,203.5392414,21.82447525,99.969129385,3.860866324,,5.143507803,47.54559032,21.91086307,9.134797425,1.397990515,9.011812946,1.764768751,33.49924857,100.0,1517.154071686,,,,11.75272351,,,0.877281659,411.7203241,0.085966537,9.799194574,40.34527566,0.791315122,90.20080543,371.3750484,0.0,0.0,0.0,,,727.951768002,33.959452762,644.626186453,519.7158806,,,4.969785748,15304.01223,30.54354661
8,Australia,2002,,,,,185.3440819,21.81694183,99.957847118,3.905184556,10.54400375,4.829076239,47.22303101,22.32493813,8.922579068,1.343201754,8.797032707,1.650430097,34.79336719,100.0,1447.649212489,,,,11.85053557,,,0.842514337,402.2193932,0.114638983,13.60676938,54.72906525,0.727875354,86.39323062,347.490328,0.0,0.0,0.0,,,662.467674237,31.066736267,654.930108521,467.6774993,,,5.076354898,15053.96303,30.45203086
9,Australia,2003,,,,,146.774635,21.93625767,99.48060651099999,3.874518026,10.54678937,4.951100602,47.16118314,22.45876651,7.718312542,1.236835919,8.219773936,1.419020973,37.47826463,100.0,1197.4306029680001,50.86498641,1.34341314,2.021444432,11.78858998,,,0.986540914,469.0399707,0.160260886,16.24472784,76.19426671,0.826280027,83.75527216,392.845704,0.0,0.0,0.0,,,535.43953624,25.162693374,664.58079129,403.2244459,,,5.145854816,16024.69338,30.38005035
10,Australia,2004,0.652193915,0.169220155,0.021882904,697.6487205,124.6706419,21.89179589,99.53609591600001,3.972468035,10.55183994,5.025934886,48.67913751,23.19164802,7.302671034,1.174905241,7.941715136,1.200790013,38.28237809,100.0,1033.778998058,42.85310379,1.366199506,2.021169146,11.97478393,59.57832913,127.8829148,1.088169506,531.4780349,0.17450633,16.03668628,85.23146508,0.913663176,83.96331372,446.2465698,0.0,0.0,0.0,,86.76378087,457.86708397999996,21.202136332000002,675.9451619100001,341.1149289,,,5.272440819,16088.70557,28.12921446
11,Australia,2005,0.59474118,0.15620322,0.021662269,758.7581586,112.3170502,21.78050634,99.508623051,3.931902878,10.55183994,5.012815979,48.978743,24.63197611,7.414226018,1.173928258,8.063699159,1.116547451,39.10899048,100.0,983.318833733,38.664375,1.354286083,1.971594762,12.01762325,,,1.304800841,642.2951622,0.241280059,18.49171544,118.7713937,1.063520783,81.50828456,523.5237685,0.0,0.0,0.0,,,412.767665,19.610710955000002,686.89880339,310.5053407,,,5.118261754,15833.45659,26.38928089
12,Australia,2006,0.635666794,0.169220155,0.020264762,745.8614424,108.0183642,21.98941564,99.383286048,3.972996043,10.61842157,4.946252703,48.2695326,26.26027507,7.269815707,1.117727089,7.813811827,1.02195539,37.61392005,100.0,953.383334657,37.26892348,1.371713797,1.96216866,12.33521086,,,1.33980662,661.7865856,0.223145405,16.65504574,110.2208585,1.116661214,83.34495426,551.5657271,0.0,0.0,0.0,,,382.380192076,18.993741075,699.080473721,292.0269202,,,5.444541758,15374.90266,25.47019233
13,Australia,2007,0.57615795,0.15620322,0.016851187,737.2816733,91.77924195,22.01092067,99.371296971,4.012848562,10.54408185,5.138529097,48.46211901,26.96429608,7.176337337,1.089622653,7.696509952,0.91652701,40.10035327,100.0,825.531794447,32.04086526,1.401868141,1.984675252,13.07209879,,,1.420048245,720.3235502,0.246234653,17.33987936,124.9032346,1.173813593,82.66012064,595.4203156,0.0,0.0,0.0,,,320.32795710299996,16.144135035,706.3463605970001,245.1252556,,,5.346067222,15183.5484,24.57358491
14,Australia,2008,0.517666572,0.143186285,0.016662202,775.8793167,86.24104622,22.2713609,99.32426603799999,4.014212771,10.56181092,5.284577544,51.75275322,27.53994106,6.385150538,0.943535971,6.762607852,0.799642123,37.23552121,100.0,815.234748426,30.17029679,1.404886878,1.96013333,11.37342936,56.62656607,88.06479415,1.424943605,713.5101987,0.25692366,18.03044408,128.6490574,1.168019945,81.96955592,584.8611413,0.0,0.0,0.0,,67.45371998,297.864588556,15.391961518,716.730263518,227.4475641,,,5.019235194,14777.03565,20.70730572
15,Australia,2009,0.507107504,0.143186285,0.017580532,797.3596572,86.08944077,21.74114848,99.83728033300001,3.90400372,10.63599443,5.390918396,51.62634095,27.09298468,6.609723675,0.954785339,6.869001639,0.740700799,33.59425858,100.0,857.7073970179999,30.201997,1.369802352,1.904013526,11.28061036,,,1.656832543,848.3880785,0.268724181,16.21915156,137.6013483,1.388108362,83.78084844,710.7867302,0.0,0.0,0.0,,,299.50303722300004,15.8622807,719.4288973619999,229.1332255,,,5.028684833,14445.16271,21.28067438
16,Australia,2010,0.635446571,0.18223709,0.015527779,843.2861666,73.25901978,22.36513547,99.541361853,3.977455445,13.20061049,5.183211398,51.88474288,28.35961297,5.896912269,0.843648695,6.122981606,0.691519723,37.55521009,100.0,738.1060500890001,25.20876739,1.369043462,1.886322391,11.69028393,59.28701561,93.47115257,1.555088659,793.1162177,0.357499151,22.98898837,182.3293951,1.197589508,77.01101163,610.7868227,0.0,0.0,0.0,,64.18757188,247.648199403,13.363976126,725.773849147,191.1932975,,13.85667538,4.96308208,14306.61771,19.75564415
